,brand u199P train,brand T75q train,brand d194w train,brand N97e train,brand r18p train,brand m179b train,brand L211K train,brand p57S train,brand M9H train,brand o21V train,brand b75G train,brand P144q train,brand Y206o train,brand N239O train,brand L115J train,brand m184o train,brand q92a train,brand M147U train,brand u199P actual,brand T75q actual,brand d194w actual,brand N97e actual,brand r18p actual,brand m179b actual,brand L211K actual,brand p57S actual,brand M9H actual,brand o21V actual,brand b75G actual,brand P144q actual,brand Y206o actual,brand N239O actual,brand L115J actual,brand m184o actual,brand q92a actual,brand M147U actual
27,20.570612,16.515825,20.022156,18.328823,10.677634,5.497276,21.794107,3.5927217,54.09988,2.0037987,0.493992,25.333178,0.3607063,4.6776137,2.2093732,2.748437,0.6074161,0.0032459814,25.0,14.0,16.5,11.0,5.0,2.0,39.0,0.0,79.0,0.0,0.0,55.5,0.0,0.0,0.0,0.0,1.0,0.0
28,18.937761,16.93352,20.748028,18.578457,11.921339,5.9574413,21.108904,3.9715993,54.615654,2.1864526,0.6041958,21.107418,0.4022305,4.701268,1.3935305,2.6596537,0.62817955,0.0032881442,39.0,16.0,13.0,15.0,10.0,1.0,29.000000000000004,32.0,72.0,3.0,0.0,36.0,0.0,0.0,0.0,64.0,2.0,0.0
29,23.50802,15.579794,18.433647,17.822412,8.275071,4.514242,22.548044,2.8675733,52.426224,1.6688998,0.31579563,32.04399,0.2940252,4.417059,3.761857,2.7226462,0.54479563,0.0015665591,36.0,2.0,7.5,19.5,0.0,2.0,40.0,0.0,70.00000000000001,0.0,0.0,56.5,0.0,10.0,0.0,0.0,2.0,0.0
30,17.602137,16.933716,20.845709,18.554829,12.451322,6.0887275,20.20224,4.153351,54.199123,2.258558,0.67435986,18.310959,0.422454,4.588028,0.8616726,2.5146284,0.63326395,0.0034393482,28.999999999999996,15.0,14.0,15.0,0.0,5.0,16.0,0.0,71.0,1.0,0.0,60.00000000000001,0.0,3.0,0.0,0.0,3.0,0.0
31,20.549782,16.463531,19.977074,18.206738,10.684805,5.5057917,21.76795,3.5699475,53.789825,2.0062854,0.49302244,25.317669,0.3622124,4.6733446,2.22891,2.7551694,0.60165006,0.002911443,25.5,13.499999999999998,18.0,16.0,1.0,5.0,22.0,0.0,62.0,0.0,0.0,32.0,3.0,3.0,2.0,0.0,0.0,0.0
32,29.535734,13.137653,14.008985,16.986328,2.4343145,1.7587571,22.187113,1.3176439,47.011395,0.9117147,0.024248999,42.142868,0.17524868,2.9781022,7.2819014,1.938482,0.3361287,-0.0077507105,36.5,15.5,14.0,19.0,0.0,1.0,23.0,0.0,45.5,1.0,0.0,62.5,0.0,1.0,10.5,0.0,0.0,0.0
33,15.792202,16.794405,20.793726,18.457653,13.014657,6.168539,18.76588,4.3490925,53.248226,2.3369691,0.7701922,14.362904,0.44793683,4.3449507,0.18444222,2.2471285,0.6310642,0.003355218,13.0,12.0,15.0,26.0,0.0,0.0,11.0,0.0,62.0,0.0,0.0,20.0,0.0,2.0,0.0,0.0,1.0,0.0
34,17.167986,16.808804,20.707382,18.45224,12.441193,6.0476723,19.80662,4.159742,53.7582,2.2521446,0.6874346,17.60487,0.4227772,4.513648,0.7360658,2.454789,0.63154113,0.0036112126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,19.470451,16.572472,20.19654,18.301313,11.184299,5.6618805,21.180557,3.7533422,53.887024,2.070289,0.54776436,23.066206,0.37681973,4.6422443,1.7521609,2.6824942,0.6161798,0.0035740472,11.0,12.0,21.0,13.999999999999998,0.0,0.0,25.0,0.0,73.0,0.0,0.0,25.0,0.0,0.0,1.0,0.0,1.0,0.0
36,20.443443,16.342012,19.801144,18.139317,10.50736,5.4153233,21.596388,3.535195,53.535744,1.9739733,0.48640966,25.422855,0.35544783,4.62883,2.2337263,2.733489,0.6013744,0.0032884795,17.0,3.0,10.0,7.5,0.0,1.0,18.0,0.0,47.00000000000001,0.0,0.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0
37,24.408676,15.288305,17.934391,17.677998,7.5659895,4.204919,22.682383,2.6495752,51.791477,1.57753,0.27079472,33.693363,0.2783119,4.2865124,4.244141,2.6650095,0.51873493,0.00043801032,8.0,3.0,22.0,30.0,0.0,1.0,32.0,0.0,56.99999999999999,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
38,23.921263,15.160112,17.788822,17.49617,7.5699487,4.187226,22.338863,2.6550777,51.281055,1.5660704,0.277391,33.285465,0.27640367,4.252982,4.110587,2.651623,0.5195823,0.00093790516,43.0,12.5,5.5,10.5,0.0,0.0,36.5,0.0,84.0,0.0,0.0,23.5,0.0,1.0,0.0,0.0,0.0,0.0
39,24.945547,14.769396,17.108467,17.312572,6.6575074,3.7744038,22.389889,2.391127,50.40998,1.4462699,0.22448647,35.231834,0.2563883,4.062134,4.6896596,2.558671,0.48686326,-0.00040334277,38.0,14.0,14.5,32.5,1.0,0.0,34.5,0.0,91.5,0.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0
40,29.401747,12.923736,13.665074,16.758232,2.2259865,1.6315533,21.829048,1.2549841,46.164345,0.8801577,0.023655156,42.04525,0.17231607,2.8518453,7.341887,1.8595486,0.3195878,-0.00836652,35.0,19.0,31.0,18.0,0.0,2.0,41.0,0.0,59.00000000000001,0.0,0.0,1907.0,0.0,0.0,1.0,0.0,0.0,0.0
41,29.96734,12.710869,13.236819,16.757883,1.63472,1.340809,21.744883,1.1246238,45.765076,0.80369073,-0.0008990709,42.810436,0.16078168,2.6906044,7.673617,1.7668986,0.30147868,-0.009259928,16.0,17.0,8.0,17.0,0.0,0.0,20.0,0.0,36.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
42,23.00647,15.385308,18.209175,17.539614,8.251237,4.4793024,22.12829,2.8460999,51.595104,1.6557658,0.3228032,31.560003,0.29316577,4.353006,3.6550162,2.6899657,0.5383997,0.0016521309,9.0,7.0,14.0,18.0,0.0,1.0,11.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
