Date,Year,eid ul fitr,eid ul Adha,Wheat Harvest,Cotton Harvest,brand Z199j,brand T75q,brand P87J,brand P144q,brand m240w,brand O139j,brand r213X,brand s167U,January,February,March,April,May,June,July,August,September,October,November,December,Muharram,Safar,Rabi al Awwal,Rabi ath Thani,Jamada al Ula,Jumada ath Thaniyah,Rajab,Shaban,Ramadan,Shawal,Dhu al Qa'dah,Dhu al Hijah
2021-03-31,2021,0.0,0.0,0.0,0.0,0,4,0,0,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021-04-30,2021,0.0,0.0,0.7333333333333333,0.0,0,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021-05-31,2021,0.16666666666666666,0.0,0.5333333333333333,0.0,0,5,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-06-30,2021,0.0,0.0,0.0,0.0,0,14,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021-07-31,2021,0.0,0.23333333333333334,0.0,0.0,0,14,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-08-31,2021,0.0,0.0,0.0,0.0,0,5,0,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021-09-30,2021,0.0,0.0,0.0,0.0,0,19,0,2,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-10-31,2021,0.0,0.0,0.0,0.9666666666666667,0,10,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2021-11-30,2021,0.0,0.0,0.0,1.0,0,14,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2021-12-31,2021,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
