,Unnamed: 0,Unnamed: 0.1,Date,brand J148v,PENCIL E/L,brand Z76b,brand G217u,brand O72y,brand K128P,brand z38s,brand q202Y,brand g155t,brand Y12k,brand A162z,brand l244I,brand T73v,brand c108X,brand q44b,brand y180c
183,183,183,24/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184,184,184,26/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
185,185,185,26/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
186,186,186,30/09/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
187,187,187,30/09/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,188,188,04/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
189,189,189,04/10/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,190,190,04/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
191,191,191,04/10/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192,192,192,04/10/2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
193,193,193,10/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
194,194,194,11/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,195,195,12/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
196,196,196,17/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
197,197,197,18/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
198,198,198,20/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
199,199,199,22/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,200,200,22/10/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,201,201,22/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
202,202,202,23/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
203,203,203,24/10/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
204,204,204,24/10/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
205,205,205,24/10/2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
206,206,206,19/11/2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,207,207,05/04/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208,208,208,06/04/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209,209,209,16/04/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,210,210,19/04/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
211,211,211,19/04/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
212,212,212,19/04/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,213,213,19/04/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
214,214,214,29/04/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
215,215,215,30/04/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,216,216,03/05/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,217,217,07/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
218,218,218,07/05/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
219,219,219,18/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
220,220,220,18/05/2021,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,221,221,19/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
222,222,222,24/05/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,223,223,25/05/2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,224,224,26/05/2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
225,225,225,26/05/2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
226,226,226,28/05/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
