,Unnamed: 0,Unnamed: 0.1,Date,brand r18p,brand v177j,brand I232M,brand V209V,brand P144q,brand j12s,brand Y213j,brand D203E,brand N239O,brand N97e,brand B197q,brand e250p,brand R124D,brand x20y,brand H165f,brand T75q
104,104,104,07/05/2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
105,105,105,16/05/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,106,106,16/05/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,107,107,21/05/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,108,108,08/06/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,109,109,15/06/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,110,110,19/06/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111,111,111,19/06/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,112,112,19/06/2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
113,113,113,19/06/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,114,114,30/06/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,115,115,30/06/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116,116,08/07/2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
117,117,117,14/07/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,118,118,14/07/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,119,119,20/07/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,120,120,20/07/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,121,121,22/07/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
122,122,122,22/07/2018,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,123,123,30/07/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,124,124,30/07/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,125,125,03/08/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,126,126,03/08/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,127,127,29/08/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,128,128,04/09/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
129,129,129,23/09/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,130,130,23/09/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,131,131,27/09/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
132,132,132,27/09/2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
133,133,133,27/09/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
