,Date,NON BR,VERSACE,NILAY,PIERE CARDIN,PIER CARDIN,NURTEKS,NON B,NONB,BONDY,JEREMI,NURTEEKS,AYDOGAN,IMAJ,ANIL
127,29/07/2018,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
128,01/08/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
129,01/08/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,01/08/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,02/08/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
132,13/08/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
133,20/08/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134,29/08/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,31/08/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,03/09/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137,04/09/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138,07/09/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139,07/09/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
140,17/09/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
141,22/09/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
142,22/09/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,26/09/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
144,27/09/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,29/09/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146,29/09/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
147,03/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148,06/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
149,11/10/2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0
150,12/10/2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0
151,13/10/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
152,14/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,15/10/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
154,15/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
155,18/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
156,18/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157,19/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
158,28/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
159,29/10/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
160,07/11/2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0
161,10/11/2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0
162,22/11/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
163,24/11/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
164,26/11/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
165,26/11/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
166,04/12/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
167,08/12/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
168,08/12/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
169,12/12/2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
170,13/12/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
171,13/12/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
172,14/12/2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0
173,14/12/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0
174,16/12/2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0
