,Unnamed: 0,Unnamed: 0.1,Date,brand m179b,brand Y206o,brand r18p,brand e250p,brand T75q,brand V209V,brand Y213j,brand t96K,brand P144q,brand j12s,brand v177j,brand B222m,brand N239O,brand R124D,brand J246F,brand w32S,brand e26Z,brand i211A,brand k154H
127,127,127,15/10/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,128,128,22/10/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,129,129,22/10/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,130,130,22/10/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,131,131,22/10/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,132,132,23/10/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,133,133,25/10/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134,134,134,26/10/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,135,135,26/10/2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,136,136,27/10/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,137,137,27/10/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,138,138,28/10/2017,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,139,139,28/10/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,140,140,28/10/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,141,141,30/10/2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,142,142,30/10/2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
143,143,143,31/10/2017,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,144,144,31/10/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,145,145,02/11/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
