,Unnamed: 0,Unnamed: 0.1,Date,brand r165D,brand d194w,brand T75q,brand A96O,brand b184Z,brand N97e,brand P144q,brand y250R,brand g168h,brand B52k,brand F26r,brand K229H,brand w86C,brand t43I,brand t194u,brand N118F,brand b165J,brand l192e,brand f41N,brand z44A,brand S115T
115,115,115,30/01/2019,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116,116,30/01/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,117,117,01/02/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,118,118,06/02/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,119,119,26/02/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,120,120,27/02/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,121,121,28/02/2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,122,122,02/03/2019,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,123,123,04/03/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,124,124,06/03/2019,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
125,125,125,06/03/2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126,126,126,06/03/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,127,127,07/03/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,128,128,11/03/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
129,129,129,14/03/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,130,130,15/03/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,131,131,17/03/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,132,132,26/03/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,133,133,27/03/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,134,134,04/04/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,135,135,13/04/2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,136,136,24/04/2019,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137,137,137,29/04/2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,138,138,18/05/2019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,139,139,18/05/2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
