"Date, Cases"
Date,Cases
03/11/2021,1275158
04/11/2021,1275673
05/11/2021,1276240
06/11/2021,1276711
07/11/2021,1277160
08/11/2021,1277560
09/11/2021,1278114
10/11/2021,1278751
11/11/2021,1279142
12/11/2021,1279373
13/11/2021,1279373
14/11/2021,1279876
15/11/2021,1280092
16/11/2021,1280362
17/11/2021,1280822
18/11/2021,1281240
19/11/2021,1281559
20/11/2021,1281872
21/11/2021,1282195
22/11/2021,1282510
23/11/2021,1282860
24/11/2021,1283223
25/11/2021,1283475
26/11/2021,1283886
27/11/2021,1284189
28/11/2021,1284365
29/11/2021,1284840
30/11/2021,1285254
01/12/2021,1285631
02/12/2021,1286022
03/12/2021,1286453
04/12/2021,1286825
05/12/2021,1287161
06/12/2021,1287393
07/12/2021,1287703
08/12/2021,1288053
09/12/2021,1288366
10/12/2021,1288761
11/12/2021,1289049
12/12/2021,1289293
13/12/2021,1289543
14/12/2021,1289913
15/12/2021,1290214
16/12/2021,1290491
17/12/2021,1290491
18/12/2021,1291108
19/12/2021,1291467
20/12/2021,1291737
21/12/2021,1292047
22/12/2021,1292406
23/12/2021,1292728
24/12/2021,1293081
25/12/2021,1293440
26/12/2021,1293715
27/12/2021,1294031
28/12/2021,1294379
29/12/2021,1294861
30/12/2021,1295376
31/12/2021,1295933
01/01/2022,1296527
02/01/2022,1297235
03/01/2022,1297865
04/01/2022,1298763
05/01/2022,1299848
06/01/2022,1301141
07/01/2022,1302486
08/01/2022,1304058
09/01/2022,1305707
10/01/2022,1307174
11/01/2022,1309248
12/01/2022,1312267
13/1/2022,1315834
14/1/2022,1320120
15/1/2022,1324147
16/1/2022,1328487
17/1/2022,1333521
18/1/2022,1338993
19/1/2022,1345801
20/1/2022,1353479
21/1/2022,1360019
22/1/2022,1367605
23/1/2022,1374800
24/1/2022,1381152
25/1/2022,1386348
