Category,ItemCode,Barcode,ItemName,Unit,P/Rate,S/Rate
BRA,HBLP545,101032,SABINA,PCS,"1,885.00","1,885.00"
BRA,E539,101035,NON B,PCS,690.00,690.00
BRA,N669,101053,NON B,PCS,690.00,690.00
BRA,H7984,101055,NON B,PCS,790.00,790.00
BRA,HS019,101108,NON B,PCS,850.00,850.00
BRA,YI1635,101131,YENI INCI,PCS,"2,790.00","2,790.00"
BRA,AN3592,101163,ANIL,PCS,"2,190.00","2,190.00"
BRA,AN3714,101193,ANIL,PCS,"1,990.00","1,990.00"
BRA,FL230496,101229,FLOURISH,PCS,"1,790.00","1,790.00"
BRA,A86,101231,STANDARD,PCS,880.00,880.00
BRA,A92,101232,STANDARD,PCS,870.00,870.00
BRA,FL23096,101236,FLORISH,PCS,"1,690.00","1,690.00"
BRA,PLEASURE,101374,FLORISH,PCS,995.00,995.00
BRA,LOVELY LACE,101375,FLORISH,PCS,"1,050.00","1,050.00"
BRA,AN3525,101379,ANIL,PCS,"2,190.00","2,190.00"
CAMISOLE,VG2140,100105,NON BR,PCS,400.00,400.00
CAMISOLE,VG1401,100106,NON BR,PCS,950.00,950.00
CAMISOLE,SH1288,100107,NON BR,PCS,895.00,895.00
CAMISOLE,SH82756-B,100108,NON BR,PCS,795.00,795.00
CAMISOLE,SH876,100109,NON BR,PCS,"1,050.00","1,050.00"
CAMISOLE,VG214,100110,NON BR,PCS,695.00,695.00
CAMISOLE,SH872,100111,NON BR,PCS,795.00,795.00
CAMISOLE,SH7400,100112,NON BR,PCS,990.00,990.00
CAMISOLE,SH826,100287,NON BR,PCS,990.00,990.00
CAMISOLE,SH904,100288,NON BR,PCS,895.00,895.00
CAMISOLE,SH838,100289,NON BR,PCS,795.00,795.00
CAMISOLE,SH2503,100339,NON BR,PCS,850.00,850.00
CAMISOLE,SH636,100340,NON BR,PCS,895.00,895.00
CAMISOLE,VG213,100341,NON BR,PCS,550.00,550.00
CAMISOLE,BONDYMIX,100342,BONDY,PCS,600.00,600.00
CAMISOLE,SH852,100398,NON B,PCS,990.00,990.00
CAMISOLE,SH871,100399,NON B,PCS,950.00,950.00
CAMISOLE,NKA52,100467,NON BR,PCS,480.00,480.00
CAMISOLE,NKLA-6,100468,NON BR,PCS,490.00,490.00
CAMISOLE,NK17,100469,NON BR,PCS,850.00,850.00
CAMISOLE,NKMA-6,100470,NON BR,PCS,450.00,450.00
CAMISOLE,NK3504,100513,CAMISLE,PCS,480.00,480.00
CAMISOLE,SH863,100539,NONB,PCS,895.00,895.00
CAMISOLE,SH8877,100540,NON B,PCS,950.00,950.00
CAMISOLE,E8089,100581,NONB,PCS,895.00,895.00
CAMISOLE,E241,100582,NONB,PCS,950.00,950.00
CAMISOLE,NK8805,100657,NON B,PCS,790.00,790.00
CAMISOLE,NK3001,100658,NON B,PCS,950.00,950.00
CAMISOLE,A1123,100684,NON B,PCS,750.00,750.00
CAMISOLE,A1607,100685,NON B,PCS,750.00,750.00
CAMISOLE,A1121,100686,NON B,PCS,750.00,750.00
CAMISOLE,F2902,100687,NON B,PCS,790.00,790.00
CAMISOLE,A1313,100688,NON B,PCS,790.00,790.00
CAMISOLE,HS302,100689,NON B,PCS,400.00,400.00
CAMISOLE,H5280,100690,NON B,PCS,450.00,450.00
CAMISOLE,H060,100691,NON B,PCS,990.00,990.00
CAMISOLE,NK8783,100758,NON B,PCS,950.00,950.00
CAMISOLE,K605,100759,NON B,PCS,650.00,650.00
CAMISOLE,J1904,100760,NON B,PCS,690.00,690.00
CAMISOLE,J886227,100761,NON B,PCS,750.00,750.00
CAMISOLE,J8315,100762,NON B,PCS,590.00,590.00
CAMISOLE,PCH060,100805,PIERRE CARDIN,PCS,790.00,790.00
CAMISOLE,NOS249,100837,NON B,PCS,990.00,990.00
CAMISOLE,A1305,100838,NON B,PCS,950.00,950.00
CAMISOLE,NOS216,100839,NON B,PCS,750.00,750.00
CAMISOLE,NO8089,100840,NON B,PCS,990.00,990.00
CAMISOLE,CD705363743,100897,COTTON DANCE,PCS,790.00,790.00
CAMISOLE,SH827,100898,NON B,PCS,990.00,990.00
CAMISOLE,M1313,100899,NON B,PCS,790.00,790.00
CAMISOLE,SH891,100900,NON B,PCS,750.00,750.00
CAMISOLE,M1123,100944,NON B,PCS,750.00,750.00
CAMISOLE,M1302,100945,NON B,PCS,890.00,890.00
CAMISOLE,M1102,100946,NON B,PCS,850.00,850.00
CAMISOLE,M1305,100978,NON B,PCS,950.00,950.00
CAMISOLE,M1121,101043,NON B,PCS,790.00,790.00
CAMISOLE,SH87,101044,NON B,PCS,"1,050.00","1,050.00"
CAMISOLE,M1911,101057,NON B,PCS,890.00,890.00
CAMISOLE,M1601,101058,NON B,PCS,890.00,890.00
CAMISOLE,NOS241,101119,NON B,PCS,"1,190.00","1,190.00"
CAMISOLE,BO10007,101120,BONDY,PCS,"2,390.00","2,390.00"
CAMISOLE,CD056,101189,COTON DANCE,PCS,690.00,690.00
CAMISOLE,A1301,101190,NON B,PCS,750.00,750.00
CAMISOLE,DE02,101191,TENDE,PCS,790.00,790.00
CAMISOLE,M1301,101208,NON B,PCS,750.00,750.00
CAMISOLE,DE01,101278,NON B,PCS,790.00,790.00
CAMISOLE,M1201,101343,NON B,PCS,"1,050.00","1,050.00"
PAJAMA (COTTON/SILK/JOGING),HP85,100243,NONB,PCS,995.00,995.00
PAJAMA (COTTON/SILK/JOGING),SP521,100361,NON BR,PCS,"1,290.00","1,290.00"
PAJAMA (COTTON/SILK/JOGING),NK311,100579,NON B,PCS,"1,490.00","1,490.00"
PAJAMA (COTTON/SILK/JOGING),NK2012,100580,NONB,PCS,"1,990.00","1,990.00"
PAJAMA (COTTON/SILK/JOGING),PJ002,100774,PAJAMA,PCS,700.00,700.00
PAJAMA (COTTON/SILK/JOGING),KPJ750,100895,KALIPLI,PCS,"1,150.00","1,150.00"
PAJAMA (COTTON/SILK/JOGING),NK820,101078,NON B,PCS,"1,490.00","1,490.00"
PAJAMA (COTTON/SILK/JOGING),SY7090,101079,NON B,PCS,750.00,750.00
PAJAMA (COTTON/SILK/JOGING),ST001,101080,NON B,PCS,900.00,900.00
PAJAMA (COTTON/SILK/JOGING),NKTR24,101081,NON B,PCS,990.00,990.00
PAJAMA (COTTON/SILK/JOGING),RN001,101170,NON B,PCS,950.00,950.00
PAJAMA (COTTON/SILK/JOGING),PL889,101286,POEM LIFE,PCS,"1,350.00","1,350.00"
STOKINGS,IT1108,100255,ITALIANA,PCS,500.00,500.00
STOKINGS,IT2208,100256,ITALIANA,PCS,670.00,670.00
STOKINGS,I1323,100367,ITALIANA,PCS,400.00,400.00
STOKINGS,I1272,100368,ITALIANA,PCS,400.00,400.00
STOKINGS,I1198,100369,ITALIANA,PCS,400.00,400.00
STOKINGS,I1546,100370,ITALIANA,PCS,400.00,400.00
STOKINGS,I1326,100371,ITALIANA,PCS,400.00,400.00
STOKINGS,I1447,100372,ITALIANA,PCS,400.00,400.00
STOKINGS,I1216,100373,ITALIANA,PCS,400.00,400.00
STOKINGS,I10081,100374,ITALIANA,PCS,400.00,400.00
STOKINGS,I1808,100375,ITALIANA,PCS,400.00,400.00
STOKINGS,I2731,100376,ITALIANA,PCS,400.00,400.00
STOKINGS,NK9026522,100377,NON B,PCS,800.00,800.00
STOKINGS,I1108,100378,ITALIANA,PCS,500.00,500.00
STOKINGS,I2390,100379,ITALIANA,PCS,"1,100.00","1,100.00"
