Category,Item Code,Item Description,Bar Code,Qty Sold,Avg Rate,Total Avg Amount,Current Pur Rate,Total Current Amount,P N L
CAMISOLE,SH2503,NON BR,100339,2,850,"1,700",850,"1,700",0
CAMISOLE,SH636,NON BR,100340,7,866.43,"6,065",895,"6,265",-200
CAMISOLE,VG213,NON BR,100341,6,550,"3,300",550,"3,300",0
CONTROLING BELT,MF34378,MISSFIT,100113,14,990,"13,860",990,"13,860",0
COSPLAYS,GP8370,GALLIPOLI,100330,1,"4,250.00","4,250","4,250.00","4,250",0
COSPLAYS,GP8392,GALLIPOLI,100331,3,"4,250.00","12,750","4,250.00","12,750",0
COSPLAYS,GP8200,GALLIPOLI,100332,1,"4,250.00","4,250","4,250.00","4,250",0
COSPLAYS,GP15502,GALLI POLY,100479,3,"1,990.00","5,970","1,990.00","5,970",0
COTTON PANTIES,H6877,NON B,101290,5,400,"2,000",400,"2,000",0
COTTON PANTIES,NK8008,NON B,101291,16,350,"5,600",350,"5,600",0
COTTON PANTIES,CD028,COTTON DANCE,101292,7,350,"2,450",350,"2,450",0
COTTON PANTIES,J872B,NON B,101293,9,450,"4,050",450,"4,050",0
COTTON PANTIES,I332,NONB,101196,1,450,450,450,450,0
CROPTOP (STARTER),MF1501,MISSFIT,100114,87,937.24,"81,540","1,190.00","103,530","-21,990"
CROPTOP (STARTER),SHB077,NON BR,100115,12,650,"7,800",650,"7,800",0
CROPTOP (STARTER),SH1289,NON BR,100116,5,700,"3,500",700,"3,500",0
CROPTOP (STARTER),VG2802,NON BR,100117,12,500,"6,000",500,"6,000",0
CROPTOP (STARTER),VG2805,NON BR,100118,10,500,"5,000",500,"5,000",0
CROPTOP (STARTER),A444,NON BR,100119,12,300,"3,600",300,"3,600",0
CROPTOP (STARTER),A333,NON BR,100120,27,300,"8,100",300,"8,100",0
CROPTOP (STARTER),MF1503,MISSFIT,100191,14,800,"11,200",800,"11,200",0
CROPTOP (STARTER),VG894,NON BR,100279,18,500,"9,000",500,"9,000",0
CROPTOP (STARTER),VG999,NON BR,100280,12,500,"6,000",500,"6,000",0
CROPTOP (STARTER),A111,NON BR,100343,84,416.67,"35,000",500,"42,000","-7,000"
CROPTOP (STARTER),SBC356,SABINA,100344,5,"1,353.00","6,765","1,435.00","7,175",-410
CROPTOP (STARTER),NK5810,NON BR,100480,5,750,"3,750",750,"3,750",0
CROPTOP (STARTER),VG2106,NON BR,100481,24,600,"14,400",600,"14,400",0
CROPTOP (STARTER),SBC372,SABINA,100500,4,"1,480.00","5,920","1,480.00","5,920",0
CROPTOP (STARTER),SBG382,SABINA,100569,8,"1,278.75","10,230","1,395.00","11,160",-930
CROPTOP (STARTER),F5121,NON B,100784,18,650,"11,700",650,"11,700",0
CROPTOP (STARTER),SBC415,SABINA,100809,4,"1,755.00","7,020","1,755.00","7,020",0
CROPTOP (STARTER),SBG383,SABINA,100810,6,"1,395.00","8,370","1,395.00","8,370",0
CROPTOP (STARTER),F5125,NON B,100811,9,600,"5,400",600,"5,400",0
CROPTOP (STARTER),F5137,NON B,100812,9,700,"6,300",700,"6,300",0
CROPTOP (STARTER),D5130,NON B,100841,99,895.45,"88,650",900,"89,100",-450
CROPTOP (STARTER),D815,NON B,100842,27,700,"18,900",700,"18,900",0
CROPTOP (STARTER),SBC416,SABINA,100884,6,"1,950.00","11,700","1,950.00","11,700",0
CROPTOP (STARTER),D6132,NON B,100932,10,650,"6,500",650,"6,500",0
CROPTOP (STARTER),D5158,NON B,100933,7,714.29,"5,000",700,"4,900",100
CROPTOP (STARTER),A210,NON B,101106,8,500,"4,000",500,"4,000",0
CROPTOP (STARTER),A3313,NON B,101107,10,500,"5,000",500,"5,000",0
CROPTOP (STARTER),A2289,NONB,101141,25,750,"18,750",750,"18,750",0
CROPTOP (STARTER),A6122,NONB,101142,20,550,"11,000",550,"11,000",0
CROPTOP (STARTER),A6118,NONB,101144,9,550,"4,950",550,"4,950",0
CROPTOP (STARTER),A5988,NONB,101164,9,550,"4,950",550,"4,950",0
EXTENTIONS,CEX1,CANSOY,100894,46,80,"3,680",80,"3,680",0
FRAGRANCES,SUNSET,HUGO BOSS,100017,1,0,0,0,0,0
FRAGRANCES,INSPIRATION,LACOSTE,100018,1,0,0,0,0,0
FRAGRANCES,TOCADILLY,ROCHAS,100019,2,0,0,0,0,0
FRAGRANCES,BEVERLYHILLS,GIORGIO,100020,3,0,0,0,0,0
