Date,Sales,Average Discount
23/04/2018,5552,20
24/04/2018,6925,0
25/04/2018,1160,0
26/04/2018,16055,0
27/04/2018,4490,0
28/04/2018,9202,20
29/04/2018,16655,20
30/04/2018,11882,20
01/05/2018,14312,20
02/05/2018,1740,0
03/05/2018,15811,20
04/05/2018,23750,50
05/05/2018,30102,20
06/05/2018,7760,0
07/05/2018,7695,0
08/05/2018,200,0
09/05/2018,4205,0
10/05/2018,22375,0
11/05/2018,9590,0
12/05/2018,20210,0
13/05/2018,13125,0
14/05/2018,19275,0
15/05/2018,2610,0
16/05/2018,14975,0
17/05/2018,7590,0
18/05/2018,9215,0
19/05/2018,750,0
20/05/2018,3500,0
21/05/2018,5985,0
22/05/2018,2255,0
23/05/2018,2820,0
24/05/2018,5665,0
25/05/2018,2340,0
26/05/2018,10220,0
27/05/2018,10965,0
28/05/2018,7870,0
29/05/2018,4610,0
30/05/2018,4870,0
31/05/2018,20655,0
01/06/2018,12630,0
02/06/2018,14785,0
03/06/2018,19685,0
04/06/2018,37345,0
05/06/2018,4580,0
06/06/2018,21290,0
07/06/2018,30040,20
08/06/2018,34275,0
09/06/2018,52175,0
10/06/2018,27005,0
11/06/2018,38760,0
12/06/2018,49950,0
13/06/2018,41510,0
14/06/2018,38520,0
15/06/2018,23940,0
16/06/2018,9685,0
18/06/2018,10220,0
19/06/2018,35540,0
20/06/2018,23920,0
21/06/2018,29285,0
22/06/2018,35230,0
23/06/2018,20000,0
24/06/2018,23880,0
25/06/2018,8170,0
26/06/2018,16940,0
27/06/2018,15505,0
28/06/2018,12220,0
29/06/2018,19207,31
30/06/2018,23630,0
01/07/2018,10665,0
02/07/2018,11010,0
03/07/2018,6785,0
04/07/2018,35450,0
05/07/2018,8620,0
06/07/2018,30475,0
07/07/2018,17255,0
08/07/2018,31190,0
09/07/2018,13790,0
10/07/2018,4450,0
11/07/2018,18095,50
12/07/2018,26477,0
13/07/2018,8645,0
14/07/2018,26470,0
15/07/2018,11785,0
16/07/2018,15015,0
17/07/2018,29850,0
18/07/2018,16050,0
19/07/2018,9930,0
20/07/2018,18035,0
21/07/2018,34547,0
22/07/2018,7289,0
23/07/2018,17485,0
24/07/2018,18630,0
25/07/2018,1550,0
26/07/2018,2890,0
27/07/2018,12370,0
28/07/2018,20536,0
29/07/2018,33844,0
30/07/2018,22720,0
31/07/2018,14500,0
01/08/2018,42635,0
02/08/2018,26825,20
03/08/2018,17500,0
04/08/2018,17285,0
05/08/2018,15315,0
06/08/2018,10430,0
07/08/2018,17755,0
08/08/2018,13040,0
09/08/2018,34646,0
10/08/2018,400,0
11/08/2018,14446,14
12/08/2018,14695,14
13/08/2018,51077,14
14/08/2018,12239,14
15/08/2018,7764,14
16/08/2018,12645,0
17/08/2018,16795,0
18/08/2018,11120,0
19/08/2018,13060,50
20/08/2018,19255,0
21/08/2018,15890,0
24/08/2018,7025,0
25/08/2018,5070,0
26/08/2018,8035,0
27/08/2018,11530,0
28/08/2018,16900,0
29/08/2018,27480,0
30/08/2018,11000,0
31/08/2018,18865,0
01/09/2018,16090,0
02/09/2018,6550,50
03/09/2018,21005,0
04/09/2018,28865,0
05/09/2018,17795,0
06/09/2018,7140,0
07/09/2018,19300,0
08/09/2018,5625,0
09/09/2018,11805,0
10/09/2018,5785,0
11/09/2018,6450,0
12/09/2018,7135,0
13/09/2018,10570,0
14/09/2018,21895,0
15/09/2018,15165,0
16/09/2018,22841,0
17/09/2018,19880,0
18/09/2018,10425,0
19/09/2018,18280,0
22/09/2018,55135,0
23/09/2018,9355,0
24/09/2018,14160,0
25/09/2018,22140,0
26/09/2018,13155,0
27/09/2018,28985,0
28/09/2018,9350,0
29/09/2018,24055,0
30/09/2018,11590,0
01/10/2018,1945,50
