Category,Item Code,Item Description,Bar Code,Opening,Purchase,Sale,Closing
BRA,AN3592,ANIL,101163,0,52,17,35
BRA,FL230496,FLOURISH,101229,0,106,29,77
BRA,A86,STANDARD,101231,0,25,8,17
BRA,A92,STANDARD,101232,0,25,13,12
BRA,FL23096,FLORISH,101236,0,0,5,-5
BRA,PLEASURE,FLORISH,101374,0,31,0,31
BRA,LOVELY,LACE FLORISH,101375,0,31,0,31
BRA,AN3525,ANIL,101379,0,32,0,32
BRA (NURSING),NBB3581,NBB,100175,30,84,101,13
BRA (NURSING),VG219,NON BR,100356,0,18,18,0
BRA (NURSING),AN3424,ANIL,101172,0,12,9,3
BRA (SPORT),SH075,NON BR,100345,0,19,19,0
BRA (SPORT),SBB695,SABINA,100404,0,8,8,0
BRA (SPORT),MF11027,MISS FIT,100446,0,6,6,0
BRA (SPORT),SH068,NONB,100538,0,53,53,0
BRA (SPORT),SBB719,SABINA,100558,0,8,8,0
BRA (SPORT),SBB1003,SABINA,100663,0,24,24,0
BRA (SPORT),SBB1001,SABINA,101073,0,8,8,0
BRA (SPORT),SB5751,NON B,101311,0,12,11,1
BRA (SPORT),SB1573,NON B,101312,0,12,10,2
BRA (SPORT),SBC1513,NON B,101194,0,12,11,1
BRA (SPORT),SBC1620,NON B,101195,0,24,25,-1
BRA (SPORT),SB3845,NON B,101275,0,12,7,5
BRA (SPORT),S3388,NON B,101344,0,12,1,11
BRA (SPORT),S3857,NON B,101345,0,12,3,9
BRA PADDED,AN3616,ANIL,100166,9,18,26,1
BRA PADDED,GO6000,GOLGE,100177,22,101,106,17
BRA PADDED,GO6031,GOLGE,100178,22,183,207,-2
BRA PADDED,SBD7000,SABINA,100202,15,23,38,0
BRA PADDED,SBD2023,SABINA,100283,0,12,12,0
BRA PADDED,TR7681,TRIUMPH,100487,0,72,72,0
BRA PADDED,GO6035,GOLGE,100575,0,113,104,9
BRA PADDED,AN3106,ANIL,100584,0,70,56,14
BRA PADDED,C153PU,CANSOY,100662,0,8,8,0
BRA PADDED,SHL266,NONB,100668,0,46,48,-2
BRA PADDED,SH784B,NON B,100669,0,18,18,0
BRA PADDED,K338,NON B,100696,0,71,72,-1
BRA PADDED,BALCONY,NON B,100775,0,50,43,7
BRA PADDED,HBLP1000,SABINA,100789,0,22,22,0
BRA PADDED,HBL534,SABINA,100791,0,17,15,2
BRA PADDED,GO6080,GOLGE,100799,0,14,11,3
BRA PADDED,SH7561,NON B,100800,0,36,36,0
BRA PADDED,K3262,NON B,100846,0,38,38,0
BRA PADDED,HBLN554,SABINA,100866,0,25,26,-1
BRA PADDED,HBLP1001,SABINA,100867,0,14,11,3
BRA PADDED,HBAN062,SABINA,100869,0,23,21,2
BRA PADDED,L3016,NON B,100881,0,40,36,4
BRA PADDED,K182,NON B,100882,0,12,6,6
BRA PADDED,SH3002,NON B,100883,0,24,24,0
BRA PADDED,HBLN564,SABINA,100926,0,12,12,0
BRA PADDED,E18011,NON B,100987,0,27,27,0
BRA PADDED,HBLP556,SABINA,101029,0,11,8,3
BRA PADDED,HBA066,SABINA,101031,0,8,7,1
BRA PADDED,H2151,NON B,101033,0,30,30,0
BRA PADDED,H2122,NON B,101034,0,36,36,0
BRA PADDED,A7627,NON B,101036,0,22,20,2
BRA PADDED,CD008,NON B,101037,0,36,36,0
BRA PADDED,HBLP2000,SABINA,101048,0,12,10,2
BRA PADDED,NU198,NURTEKS,101049,0,26,11,15
BRA PADDED,H9059,NON B,101054,0,45,44,1
BRA PADDED,CD003,NON B,101056,0,24,24,0
BRA PADDED,BN2998,NON B,101097,0,21,21,0
BRA PADDED,NKFB053,NON B,101109,0,3,4,-1
BRA PADDED,S8836,NON B,101110,0,21,21,0
BRA PADDED,N1804,NON B,101111,0,9,8,1
BRA PADDED,H2121,NON B,101112,0,18,18,0
BRA PADDED,BN216,NON B,101113,0,9,9,0
BRA PADDED,H8501,NON B,101307,0,30,15,15
BRA PADDED,H6801,NON B,101308,0,24,22,2
BRA PADDED,H1705,NON B,101309,0,30,24,6
BRA PADDED,NBB3479,NBB,101192,0,4,2,2
BRA PADDED,H0012,NONB,101200,0,34,36,-2
BRA PADDED,H6802,NONB,101201,0,20,20,0
BRA PADDED,H2184,NONB,101202,0,12,11,1
